seed,cnn,accuracy,kappa,mae
42,Resnet50,0.6162,0.6731,0.5436
52,Resnet50,0.3487,0.3711,0.9307
62,Resnet50,0.1088,0.1636,0.1094
72,Resnet50,0.2756,0.3638,0.9370
82,Resnet50,0.3107,0.3571,1.0055
42,DenseNet-121,0.5422,0.5875,0.6329
52,DenseNet-121,0.4099,0.5370,0.7689
62,DenseNet-121,0.1304,0.0982,1.0689
72,DenseNet-121,0.3168,0.3824,0.9143
82,DenseNet-121,0.4062,0.3500,0.9000
42,EfficientNet-B0,0.5108,0.5525,0.6671
52,EfficientNet-B0,0.3970,0.5911,0.7199
62,EfficientNet-B0,0.2251,0.3687,0.8953
72,EfficientNet-B0,0.2546,0.4179,0.9630
82,EfficientNet-B0,0.4357,0.5502,0.7777
42,inception_resnet_v2,0.5939,0.6912,0.5283
52,inception_resnet_v2,0.3705,0.5749,0.7865
62,inception_resnet_v2,0.1761,0.1532,1.1354
72,inception_resnet_v2,0.2067,0.2374,1.1403
82,inception_resnet_v2,0.2911,0.2220,0.1075
42,convnext_tiny,0.5743,0.6199,0.5953
52,convnext_tiny,0.3956,0.6138,0.7097
62,convnext_tiny,0.1213,0.2200,1.1927
72,convnext_tiny,0.3008,-0.0989,1.2286
82,convnext_tiny,0.4768,0.5746,0.6813
