seed,cnn,gaussian_acc,gaussian_kappa,gausssian_mae,blur_acc,blur_kappa,blur_mae,jpeg_acc,jpeg_kappa,jpeg_mae,speakle_acc,speakle_kappa,speakle_mae
42,Resnet50,0.6699,0.8207,0.3860,0.6816,0.8366,0.3639,0.6712,0.8340,0.3706,0.6921,0.8350,0.3571
42,DenseNet-121,0.6872,0.8353,0.3626,0.6890,0.8429,0.3516,0.6779,0.8330,0.3682,0.7019,0.8475,0.3399
42,EfficientNet-B0,0.6706,0.8073,0.4050,0.6810,0.8413,0.3583,0.6822,0.8352,0.3614,0.6921,0.8357,0.3571
42,inception_resnet_v2,0.6742,0.8291,0.3768,0.6964,0.8422,0.3467,0.6872,0.8315,0.3620,0.6779,0.8225,0.3749
42,convnext_tiny,0.6896,0.8430,0.3528,0.6872,0.8361,0.3614,0.6872,0.8367,0.3602,0.6921,0.8413,0.3516
52,Resnet50,0.6613,0.8117,0.4032,0.6620,0.8288,0.3798,0.6841,0.8396,0.3596,0.6755,0.8231,0.3798
52,DenseNet-121,0.6687,0.8288,0.3774,0.6706,0.8315,0.3743,0.6736,0.8272,0.3780,0.6650,0.8278,0.3805
52,EfficientNet-B0,0.6497,0.7877,0.4395,0.6853,0.8346,0.3657,0.6853,0.8406,0.3614,0.6644,0.8281,0.3854
52,inception_resnet_v2,0.6736,0.8156,0.3884,0.6872,0.8282,0.3688,0.6878,0.8316,0.3651,0.6785,0.8186,0.3798
52,convnext_tiny,0.6650,0.8238,0.3835,0.6669,0.8262,0.3811,0.6681,0.8309,0.3755,0.6742,0.8369,0.3645
62,Resnet50,0.6742,0.8190,0.3848,0.6853,0.8423,0.3577,0.6872,0.8436,0.3559,0.6816,0.8312,0.3675
62,DenseNet-121,0.6785,0.8420,0.3608,0.6767,0.8386,0.3706,0.6669,0.8298,0.3780,0.6736,0.8414,0.3657
62,EfficientNet-B0,0.6202,0.7698,0.4739,0.6939,0.8435,0.3516,0.6933,0.8407,0.3583,0.6872,0.8463,0.3534
62,inception_resnet_v2,0.6454,0.8156,0.4093,0.6472,0.8345,0.3860,0.6749,0.8495,0.3602,0.6626,0.8288,0.3841
62,convnext_tiny,0.6994,0.8464,0.3442,0.7050,0.8520,0.3344,0.6970,0.8486,0.3430,0.7013,0.8461,0.3436
72,Resnet50,0.6878,0.8373,0.3620,0.6792,0.8428,0.3583,0.6798,0.8375,0.3639,0.6804,0.8367,0.3645
72,DenseNet-121,0.6761,0.8413,0.3651,0.6878,0.8438,0.3546,0.6976,0.8482,0.3430,0.6847,0.8448,0.3565
72,EfficientNet-B0,0.6392,0.7960,0.4352,0.6884,0.8387,0.3596,0.6915,0.8388,0.3583,0.6687,0.8269,0.3835
72,inception_resnet_v2,0.6435,0.8127,0.4161,0.6650,0.8321,0.3768,0.6669,0.8289,0.3817,0.6650,0.8199,0.3921
72,convnext_tiny,0.6798,0.8340,0.3719,0.6829,0.8275,0.3731,0.6847,0.8390,0.3626,0.6822,0.8371,0.3669
82,Resnet50,0.6958,0.8507,0.3491,0.6933,0.8608,0.3411,0.6884,0.8575,0.3467,0.6976,0.8521,0.3436
82,DenseNet-121,0.7013,0.8521,0.3387,0.7087,0.8584,0.3301,0.6964,0.8578,0.3374,0.7105,0.8538,0.3301
82,EfficientNet-B0,0.6681,0.8145,0.3977,0.7167,0.8614,0.3215,0.7117,0.8536,0.3319,0.7037,0.8487,0.3411
82,inception_resnet_v2,0.7111,0.8490,0.3356,0.7160,0.8579,0.3215,0.7191,0.8588,0.3208,0.7025,0.8462,0.3417
82,convnext_tiny,0.6958,0.8508,0.3430,0.6927,0.8571,0.3387,0.7081,0.8614,0.3264,0.7037,0.8539,0.3337
