seed,cnn,accuracy,kappa,mae,
42,Resnet50,0.6834,0.8203,0.3783,
52,Resnet50,0.6919,0.8309,0.3608,
62,Resnet50,0.6780,0.8297,0.3711,
72,Resnet50,0.6737,0.8358,0.3680,
82,Resnet50,0.6659,0.8241,0.3886,
42,DenseNet-121,0.6755,0.8253,0.3789,
52,DenseNet-121,0.6870,0.8372,0.3602,
62,DenseNet-121,0.6768,0.8256,0.3771,
72,DenseNet-121,0.6870,0.8356,0.3680,
82,DenseNet-121,0.6798,0.8412,0.3692,
42,EfficientNet-B0,0.6653,0.8254,0.3886,
52,EfficientNet-B0,0.6653,0.8180,0.3935,
62,EfficientNet-B0,0.6622,0.8215,0.3916,
72,EfficientNet-B0,0.6858,0.8283,0.3705,
82,EfficientNet-B0,0.6810,0.8372,0.3686,
42,inception_resnet_v2,0.6616,0.8149,0.3941,
52,inception_resnet_v2,0.6713,0.8263,0.3789,
62,inception_resnet_v2,0.6598,0.8233,0.3971,
72,inception_resnet_v2,0.6762,0.8310,0.3680,
82,inception_resnet_v2,0.6789,0.8354,0.3662,
42,convnext_tiny,0.6895,0.8418,0.3529,
52,convnext_tiny,0.7028,0.8535,0.3329,
62,convnext_tiny,0.7052,0.8529,0.3347,
72,convnext_tiny,0.6961,0.8573,0.3390,
82,convnext_tiny,0.6919,0.8529,0.3444,
